,Unnamed: 0,industry_freq,sub_freq,type_freq,city_freq,actual_amount,industry_vertical,sub_vertical,city_location,investment_type,amount_in_usd,predicted_amount,predicted_amount_log,actual_amount_log,funded,Funded
0,2647,0.0007610350076103,0.1997716894977169,0.4585235920852359,0.1997716894977169,12500000.0,onlinehomed,unknown,mumbai,privateequity,12500000.0,4227763.541238878,15.257183934080649,16.341239282272525,True,True
1,2689,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,12500000.0,ecommerceplatform,unknown,bangalore,privateequity,12500000.0,5787616.634954608,15.571231302864163,16.341239282272525,True,True
2,70,0.0007610350076103,0.0003805175038051,0.0076103500761035,0.0003805175038051,5750000.0,tech,smartphoneoperatingsystem,andheri,seriesb,5750000.0,7761822.315677418,15.864727827920326,15.564710586686562,True,True
3,427,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,4400000.0,technology,educationsolutions,bangalore,privateequity,4400000.0,4040270.306255439,15.211822402696258,15.29711532616119,True,True
4,458,0.1137747336377473,0.0007610350076103,0.0098934550989345,0.0129375951293759,2700000.0,ecommerce,onlinemicrolendingplatform,delhi,debtfunding,2700000.0,4089489.754893485,15.223931010461,14.80876270134486,True,True
5,90,0.0007610350076103,0.0007610350076103,0.0003805175038051,0.3002283105022831,868600.0,wastemanagementservice,optimization,bangalore,ventureseriesunknown,868600.0,4293076.074247149,15.272514300515638,13.674639150360116,True,True
6,2800,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,2000000.0,ondemandservicemarketplace,unknown,bangalore,privateequity,2000000.0,5787616.634954608,15.571231302864163,14.508658238524095,True,True
7,1591,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1411719939117199,500000.0,consumerinternet,mobilebasedrewardsplatform,newdelhi,privateequity,500000.0,4129568.029008727,15.23368360816263,13.122365377402328,True,True
8,1837,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.0323439878234398,500000.0,consumerinternet,biketaxiservice&hyperlocaldeliveryapp,noida,seedfunding,500000.0,274623.2990794945,12.523159257401431,13.122365377402328,True,True
9,1363,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.0403348554033485,3000000.0,technology,onlineadvertisingsolutions,pune,privateequity,3000000.0,4416185.542396807,15.300787108437463,14.914123179965662,True,True
10,129,0.0007610350076103,0.0003805175038051,0.0091324200913242,0.3002283105022831,500000.0,gaming,mobileesports,bangalore,seriesa,500000.0,4954030.424043033,15.415712232177055,13.122365377402328,True,True
11,761,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1997716894977169,5200000.0,consumerinternet,eventsticketingplatform,mumbai,privateequity,5200000.0,4676487.321310677,15.358058027539538,15.46416937585933,True,True
12,555,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1997716894977169,7000000.0,consumerinternet,mobilebasedlearningapp,mumbai,privateequity,7000000.0,4676487.321310677,15.358058027539538,15.76142084987672,True,True
13,2031,0.1137747336377473,0.0003805175038051,0.4585235920852359,0.102359208523592,5400000.0,ecommerce,onlinefashionapparelretailer,gurgaon,privateequity,5400000.0,3910929.645397477,15.17928592036576,15.501909696719672,True,True
14,2690,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.1997716894977169,500000.0,renewableenergysolutions,unknown,mumbai,seedfunding,500000.0,368608.0431572448,12.817491857713016,13.122365377402328,True,True
15,2267,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.1997716894977169,12500000.0,onlineandtvshoppingmarketplace,unknown,mumbai,privateequity,12500000.0,4227763.541238878,15.257183934080649,16.341239282272525,True,True
16,2862,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,10000000.0,greycollarjobboard,unknown,bangalore,privateequity,10000000.0,5787616.634954608,15.571231302864163,16.118095750958314,True,True
17,1391,0.1818873668188736,0.0003805175038051,0.4284627092846271,0.3002283105022831,425000.0,technology,mobilegamepublisherforindianaudience,bangalore,seedfunding,425000.0,369353.2753452152,12.819511558211984,12.959846800844964,True,True
18,2028,0.0091324200913242,0.0003805175038051,0.4284627092846271,0.1997716894977169,45000.0,education,careerplanningandeducationadvisoryplatform,mumbai,seedfunding,45000.0,389681.535827204,12.87308767591974,10.714439990727769,True,True
19,2870,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.3002283105022831,400000.0,financialmarketssoftware,unknown,bangalore,seedfunding,400000.0,520682.9585600806,13.162898531225078,12.899222326086994,True,True
20,1035,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1411719939117199,1100000.0,consumerinternet,smartparkingplatform,newdelhi,privateequity,1100000.0,4129568.029008727,15.23368360816263,13.910821646859096,True,True
21,2843,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.0034246575342465,4000000.0,materialcollection&recycling,unknown,vadodara,privateequity,4000000.0,6618352.650632754,15.705357203726004,15.201805169084134,True,True
22,1135,0.1137747336377473,0.0007610350076103,0.4585235920852359,0.1411719939117199,6000000.0,ecommerce,fashionappareletailer,newdelhi,privateequity,6000000.0,2923711.5133337597,14.888364775364815,15.607270193858982,True,True
23,408,0.1818873668188736,0.0007610350076103,0.0030441400304414,0.0334855403348554,400000.0,technology,it,chennai,angel/seedfunding,400000.0,584301.507445541,13.278174119899983,12.899222326086994,True,True
24,691,0.1818873668188736,0.0007610350076103,0.4585235920852359,0.3002283105022831,12500000.0,technology,digitalpaymentssolutions,bangalore,privateequity,12500000.0,4183090.934860117,15.246561228394656,16.341239282272525,True,True
25,1677,0.1818873668188736,0.0003805175038051,0.4284627092846271,0.0026636225266362,500000.0,technology,intelligenttechplatformforfinancevertical,singapore,seedfunding,500000.0,200070.77090188497,12.20643143566672,13.122365377402328,True,True
